ID,섹션,책,장절,말씀,핵심단어
SP1-001,승급과정,요한1서,4:14,아버지가 아들을 세상의 구주로 보내신 것을,"아들,구주"
SP1-002,승급과정,시편,147:5,우리 주는 위대하시며 능력이 많으시며,"위대,능력"
SP1-003,승급과정,고린도전서,15:3,성경대로 그리스도께서 우리 죄를 위하여 죽으시고,"성경대로,죄"
SP1-004,승급과정,고린도전서,15:4,장사 지낸 바 되셨다가 성경대로 사흘 만에 다시 살아나사,"장사,사흘"
SP1-005,승급과정,야고보서,2:10,누구든지 온 율법을 지키다가 그 하나를 범하면 모두 범한 자가 되나니,"율법,범한"
SP1-006,승급과정,사도행전,16:31,주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라,"예수,구원"
SP1-007,승급과정,요한복음,3:16,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라,"세상,독생자,멸망,영생"
SP1-008,빨강보석1,요한복음,20:31,오직 이것을 기록함은 너희로 예수께서 하나님의 아들 그리스도이심을 믿게 하려 함이요,"기록함,그리스도"
SP1-009,빨강보석1,시편,118:1,여호와께 감사하라 그는 선하시며 그의 인자하심이 영원함이로다,"감사,인자하심"
SP1-010,빨강보석1,요한1서,4:19,우리가 사랑함은 그가 먼저 우리를 사랑하셨음이라,"사랑,먼저"
SP1-011,초록보석1,창세기,1:1,태초에 하나님이 천지를 창조하시니라,"태초,창조"
SP1-012,초록보석1,창세기,1:31,하나님이 지으신 그 모든 것을 보시니 보시기에 심히 좋았더라,"지으신,심히 좋았더라"
SP1-013,빨강보석2,요한복음,17:17,진리로 거룩하게 하옵소서 아버지의 말씀은 진리니이다,"진리,말씀"
SP1-014,빨강보석2,베드로전서,1:25,오직 주의 말씀은 세세토록 있도다,"말씀,세세토록"
SP1-015,빨강보석2,요한복음,14:6,예수께서 이르시되 내가 곧 길이요 진리요 생명이니 나로 말미암지 않고는 아버지께로 올 자가 없느니라,"길,진리,생명"
SP1-016,빨강보석2,로마서,3:23,모든 사람이 죄를 범하였으매 하나님의 영광에 이르지 못하더니,"죄,영광"
SP1-017,초록보석2,골로새서,1:3,우리가 너희를 위하여 기도할 때마다 하나님 곧 우리 주 예수 그리스도의 아버지께 감사하노라,"기도,감사"
SP1-018,초록보석3,요한복음,3:14,모세가 광야에서 뱀을 든 것 같이 인자도 들려야 하리니,"모세,인자"
SP1-019,초록보석3,요한복음,3:15,이는 그를 믿는 자마다 영생을 얻게 하려 하심이니라,"믿는,영생"
SP1-020,빨강보석4,요한복음,3:14-16,모세가 광야에서 뱀을 든 것 같이 인자도 들려야 하리니 이는 그를 믿는 자마다 영생을 얻게 하려 하심이니라 하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라,"인자,독생자,영생"
SP1-021,빨강보석4,여호수아,1:9,내가 네게 명령한 것이 아니냐 강하고 담대하라 네 하나님 여호와가 너와 함께 하느니라,"담대하라,여호와"
SP1-022,빨강보석4,여호수아,24:24,우리 하나님 여호와를 우리가 섬기고 그의 목소리를 우리가 청종하리이다,"섬기고,청종"
SP1-023,초록보석4,에베소서,6:1,자녀들아 주 안에서 너희 부모에게 순종하라 이것이 옳으니라,"자녀,순종"
SP1-024,초록보석4,여호수아,1:9,강하고 담대하라 네 하나님 여호와가 너와 함께 하느니라,"담대하라,여호와"
SP1-025,초록보석4,여호수아,24:24,우리 하나님 여호와를 우리가 섬기고 그의 목소리를 우리가 청종하리이다,"섬기고,청종"
