ID,섹션,책,장절,말씀,핵심단어
SP3-001,승급과정,요한1서,4:14,아버지가 아들을 세상의 구주로 보내신 것을,"아들,구주"
SP3-002,승급과정,시편,147:5,우리 주는 위대하시며 능력이 많으시며,"위대,능력"
SP3-003,승급과정,고린도전서,15:3,성경대로 그리스도께서 우리 죄를 위하여 죽으시고,"성경대로,죄"
SP3-004,승급과정,고린도전서,15:4,장사 지낸 바 되셨다가 성경대로 사흘 만에 다시 살아나사,"장사,사흘"
SP3-005,승급과정,야고보서,2:10,누구든지 온 율법을 지키다가 그 하나를 범하면 모두 범한 자가 되나니,"율법,범한"
SP3-006,승급과정,사도행전,16:31,주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라,"예수,구원"
SP3-007,승급과정,요한복음,3:16,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라,"세상,독생자,멸망,영생"
SP3-008,승급과정,신명기,31:8,여호와 그가 네 앞에서 가시며 너와 함께 하사 너를 떠나지 아니하시며 버리지 아니하시리니 너는 두려워하지 말라 놀라지 말라,"여호와,두려워하지"
SP3-009,승급과정,시편,100:4,감사함으로 그의 문에 들어가며 찬송함으로 그의 궁정에 들어가서 그에게 감사하며 그의 이름을 송축할지어다,"감사,찬송,송축"
SP3-010,빨강보석1,누가복음,2:10-11,천사가 이르되 무서워하지 말라 보라 내가 온 백성에게 미칠 큰 기쁨의 좋은 소식을 너희에게 전하노라 오늘 다윗의 동네에 너희를 위하여 구주가 나셨으니 곧 그리스도 주시니라,"천사,기쁨,구주"
SP3-011,빨강보석1,요한복음,1:1-3,태초에 말씀이 계시니라 이 말씀이 하나님과 함께 계셨으니 이 말씀은 곧 하나님이시니라 그가 태초에 하나님과 함께 계셨고 만물이 그로 말미암아 지은 바 되었으니 지은 것이 하나도 그가 없이는 된 것이 없느니라,"태초,말씀,만물"
SP3-012,빨강보석1,이사야,9:6,이는 한 아기가 우리에게 났고 한 아들을 우리에게 주신 바 되었는데 그의 어깨에는 정사를 메었고 그의 이름은 기묘자라 모사라 전능하신 하나님이라 영존하시는 아버지라 평강의 왕이라 할 것임이라,"아기,기묘자,평강의 왕"
SP3-013,초록보석1,로마서,5:8,우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에 대한 자기의 사랑을 확증하셨느니라,"죄인,사랑,확증"
SP3-014,초록보석1,마태복음,28:6,그가 여기 계시지 않고 그가 말씀 하시던 대로 살아나셨느니라 와서 그가 누우셨던 곳을 보라,"말씀,살아나셨느니라"
SP3-015,초록보석1,요한1서,5:12,아들이 있는 자에게는 생명이 있고 하나님의 아들이 없는 자에게는 생명이 없느니라,"아들,생명"
SP3-016,초록보석2,로마서,1:16,내가 복음을 부끄러워하지 아니하노니 이 복음은 모든 믿는 자에게 구원을 주시는 하나님의 능력이 됨이라,"복음,구원,능력"
SP3-017,초록보석2,사도행전,1:8,오직 성령이 너희에게 임하시면 너희가 권능을 받고 예루살렘과 온 유대와 사마리아와 땅 끝까지 이르러 내 증인이 되리라,"성령,권능,증인"
SP3-018,빨강보석3,요한1서,3:17-18,누가 이 세상의 재물을 가지고 형제의 궁핍함을 보고도 도와 줄 마음을 닫으면 하나님의 사랑이 어찌 그 속에 거하겠느냐 자녀들아 우리가 말과 혀로만 사랑하지 말고 행함과 진실함으로 하자,"재물,궁핍함,행함"
SP3-019,초록보석3,로마서,3:23,모든 사람이 죄를 범하였으매 하나님의 영광에 이르지 못하더니,"죄,영광"
SP3-020,빨강보석4,디모데후서,3:15,또 어려서부터 성경을 알았나니 성경은 능히 너로 하여금 그리스도 예수 안에 있는 믿음으로 말미암아 구원에 이르는 지혜가 있게 하느니라,"성경,믿음,구원"
SP3-021,빨강보석4,데살로니가전서,4:16,주께서 호령과 천사장의 소리와 하나님의 나팔 소리로 친히 하늘로부터 강림하시리니 그리스도 안에서 죽은 자들이 먼저 일어나고,"천사장,강림"
SP3-022,빨강보석4,데살로니가전서,4:17,그 후에 우리 살아 남은 자들도 그들과 함께 구름 속으로 끌어 올려 공중에서 주를 영접하게 하시리니 그리하여 우리가 항상 주와 함께 있으리라,"구름,영접"
SP3-023,빨강보석4,요한계시록,21:1,내가 새 하늘과 새 땅을 보니 처음 하늘과 처음 땅이 없어졌고 바다도 다시 있지 않더라,"새 하늘,새 땅"
SP3-024,빨강보석4,요한계시록,21:3-4,하나님은 친히 그들과 함께 계셔서 모든 눈물을 그 눈에서 닦아 주시니 다시는 사망이 없고 애통하는 것이나 곡하는 것이나 아픈 것이 다시 있지 아니하리니 처음 것들이 다 지나갔음이러라,"눈물,사망,애통"
SP3-025,빨강보석4,요한복음,14:1-2,너희는 마음에 근심하지 말라 하나님을 믿으니 또 나를 믿으라 내 아버지 집에 거할 곳이 많도다 그렇지 않으면 너희에게 일렀으리라 내가 너희를 위하여 거처를 예비하러 가노니,"근심,거처"
SP3-026,초록보석4,골로새서,4:2,기도를 계속하고 기도에 감사함으로 깨어 있으라,"기도,감사,깨어"
SP3-027,초록보석4,잠언,17:17,친구는 사랑이 끊어지지 아니하고 형제는 위급한 때를 위하여 났느니라,"친구,사랑,형제"
