ID,섹션,책,장절,말씀,핵심단어
SP2-001,승급과정,요한1서,4:14,아버지가 아들을 세상의 구주로 보내신 것을,"아들,구주"
SP2-002,승급과정,시편,147:5,우리 주는 위대하시며 능력이 많으시며,"위대,능력"
SP2-003,승급과정,고린도전서,15:3,성경대로 그리스도께서 우리 죄를 위하여 죽으시고,"성경대로,죄"
SP2-004,승급과정,고린도전서,15:4,장사 지낸 바 되셨다가 성경대로 사흘 만에 다시 살아나사,"장사,사흘"
SP2-005,승급과정,야고보서,2:10,누구든지 온 율법을 지키다가 그 하나를 범하면 모두 범한 자가 되나니,"율법,범한"
SP2-006,승급과정,사도행전,16:31,주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라,"예수,구원"
SP2-007,승급과정,요한복음,3:16,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 그를 믿는 자마다 멸망하지 않고 영생을 얻게 하려 하심이라,"세상,독생자,멸망,영생"
SP2-008,승급과정,요한복음,20:31,오직 이것을 기록함은 너희로 예수께서 하나님의 아들 그리스도이심을 믿게 하려 함이요,"기록함,그리스도"
SP2-009,승급과정,시편,118:1,여호와께 감사하라 그는 선하시며 그의 인자하심이 영원함이로다,"감사,인자하심"
SP2-010,승급과정,로마서,6:23,죄의 삯은 사망이요 하나님의 은사는 그리스도 예수 우리 주 안에 있는 영생이니라,"삯,사망,영생"
SP2-011,빨강보석1,신명기,6:5,너는 마음을 다하고 뜻을 다하고 힘을 다하여 네 하나님 여호와를 사랑하라,"마음,뜻,힘"
SP2-012,빨강보석1,시편,96:2,여호와께 노래하여 그의 이름을 송축하며 그의 구원을 날마다 전파할지어다,"송축,구원,전파"
SP2-013,빨강보석1,예레미야,32:27,나는 여호와요 모든 육체의 하나님이라 내게 할 수 없는 일이 있겠느냐,"여호와,육체"
SP2-014,빨강보석1,레위기,19:2,너희는 거룩하라 이는 나 여호와 너희 하나님이 거룩함이니라,거룩
SP2-015,빨강보석1,잠언,20:11,비록 아이라도 자기의 동작으로 자기 품행이 청결한 여부와 정직한 여부를 나타내느니라,"품행,청결,정직"
SP2-016,초록보석1,시편,23:1-2,여호와는 나의 목자시니 내게 부족함이 없으리로다 그가 나를 푸른 풀밭에 누이시며 쉴 만한 물 가로 인도하시는도다,"목자,부족함,풀밭"
SP2-017,초록보석1,시편,23:3,내 영혼을 소생시키시고 자기 이름을 위하여 의의 길로 인도하시는도다,"영혼,소생,의의 길"
SP2-018,초록보석1,시편,23:4,내가 사망의 음침한 골짜기로 다닐지라도 해를 두려워하지 않을 것은 주께서 나와 함께 하심이라 주의 지팡이와 막대기가 나를 안위하시나이다,"골짜기,지팡이,막대기"
SP2-019,초록보석1,시편,23:5,주께서 내 원수의 목전에서 내게 상을 차려 주시고 기름을 내 머리에 부으셨으니 내 잔이 넘치나이다,"원수,기름,잔"
SP2-020,초록보석1,시편,23:6,내 평생에 선하심과 인자하심이 반드시 나를 따르리니 내가 여호와의 집에 영원히 살리로다,"선하심,인자하심,영원히"
SP2-021,초록보석1,베드로전서,5:7,너희 염려를 다 주께 맡기라 이는 그가 너희를 돌보심이라,"염려,맡기라,돌보심"
SP2-022,빨강보석2,마가복음,16:15,또 이르시되 너희는 온 천하에 다니며 만민에게 복음을 전파하라,"천하,만민,복음"
SP2-023,초록보석2,베드로전서,1:25,오직 주의 말씀은 세세토록 있도다,"말씀,세세토록"
SP2-024,초록보석2,데살로니가전서,5:17-18,쉬지 말고 기도하라 범사에 감사하라 이것이 그리스도 예수 안에서 너희를 향하신 하나님의 뜻이니라,"기도,범사,뜻"
SP2-025,초록보석2,골로새서,3:23,무슨 일을 하든지 마음을 다하여 주께 하듯 하고 사람에게 하듯 하지 말라,마음을 다하여
SP2-026,빨강보석4,요한복음,1:1,태초에 말씀이 계시니라 이 말씀이 하나님과 함께 계셨으니 이 말씀은 곧 하나님이시니라,"태초,말씀"
SP2-027,빨강보석4,요한복음,1:2,그가 태초에 하나님과 함께 계셨고,태초
SP2-028,빨강보석4,요한복음,1:3,만물이 그로 말미암아 지은 바 되었으니 지은 것이 하나도 그가 없이는 된 것이 없느니라,"만물,지은"
SP2-029,초록보석4,에베소서,4:32,서로 친절하게 하며 불쌍히 여기며 서로 용서하기를 하나님이 그리스도 안에서 너희를 용서하심과 같이 하라,"친절,불쌍히,용서"
SP2-030,초록보석4,빌립보서,2:14,모든 일을 원망과 시비가 없이 하라,"원망,시비"
