ID,말씀ID,용어,정의
A1V001,A1-005,전에,"오래 전에, 과거에"
A1V002,A1-005,교훈,가르침
A1V003,A1-006,의인,하나님의 법에 순종하는 사람
A1V004,A1-007,태초에,"최초에, 처음에"
A1V005,A1-003,말씀,주 예수 그리스도
A1V006,A1-008,구원,죄 값으로부터 영원히 자유롭게 됨
A1V007,A1-009,일심으로,변함없는 한결 같은 마음으로
A1V008,A1-009,경외하게,존경하다
A1V009,A1-010,창조,아무 것도 없는 상태에서 무엇인가를 만드는 것
A1V010,A1-012,공의,죄가 전혀 없음
A1V011,A1-013,거룩하심,죄가 없고 의로우시다
A1V012,A1-015,무궁하시도다,끝이 없다
A1V013,A1-014,밝히 아시오며,살피고 이해하다
A1V014,A1-016,교통하심,"교제, (영적) 교감"
A1V015,A1-017,독생자,하나밖에 없는 유일한 아들
A1V016,A1-017,멸망,하나님과 영원히 분리되는 것
A1V017,A1-026,형상,"모양, 모습"
A1V018,A1-027,새로운 피조물,성령님께서 내 안에 계시기 때문에 새로워진 마음과 성품
A1V019,A1-017,멸망하다,하나님으로부터 영원히 분리되는 것
A1V020,A1-028,만물,세상의 모든 것
A1V021,A1-029,범사,모든 일
A1V022,A1-030,등,"등불, 빛"
A1V023,A1-033,만민에게,모든 사람들에게
A1V024,A1-021,인자,주 예수 그리스도
A1V025,A1-024,나무,십자가
A1V026,A1-001,의,죄가 없음
A1V027,A1-032,불쌍히 여기며,잘 돌봐주며
