ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
C2-001,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,1,우리 가족이 하는 모든 일보다 주님이 우선 되어야 합니다.,여호수아,24:15b,너희 조상들이 강 저쪽에서 섬기던 신들이든지 또는 너희가 거주하는 땅에 있는 아모리 족속의 신들이든지 너희가 섬길 자를 오늘 택하라 오직 나와 내 집은 여호와를 섬기겠노라 하니,"신들,여호와"
C2-002,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,2,가족은 서로에게 기쁨이 되어야 합니다.,신명기,5:16,너는 네 하나님 여호와께서 명령한 대로 네 부모를 공경하라 그리하면 네 하나님 여호와가 네게 준 땅에서 네 생명이 길고 복을 누리리라,"부모,공경"
C2-003,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,2,가족은 서로에게 기쁨이 되어야 합니다.,시편,127:3,보라 자녀들은 여호와의 기업이요 태의 열매는 그의 상급이로다,"기업,상급"
C2-004,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,3,가족끼리는 서로 대화를 많이 나누어야 합니다.,잠언,4:2-4,내가 선한 도리를 너희에게 전하노니 내 법을 떠나지 말라 나도 내 아버지에게 아들이었으며 내 어머니 보기에 유약한 외아들이었노라 아버지가 내게 가르쳐 이르기를 내 말을 네 마음에 두라 내 명령을 지키라 그리하면 살리라,"선한 도리,마음"
C2-005,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,4,부모님의 신뢰를 얻기 위해서 열심히 노력해야 합니다.,에베소서,6:1-2,자녀들아 주 안에서 너희 부모에게 순종하라 이것이 옳으니라 네 아버지와 어머니를 공경하라 이것은 약속이 있는 첫 계명이니,"순종,공경,계명"
C2-006,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,5,모든 가족은 각자 감당해야 할 책임이 있습니다.,에베소서,"6:1-2, 4",자녀들아 주 안에서 너희 부모에게 순종하라 이것이 옳으니라 네 아버지와 어머니를 공경하라 이것은 약속이 있는 첫 계명이니 또 아비들아 너희 자녀를 노엽게 하지 말고 오직 주의 교훈과 훈계로 양육하라,"순종,노엽게,교훈"
C2-007,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,6,나는 진정한 어린이가 되어야 합니다.,베드로후서,1:5-7,그러므로 너희가 더욱 힘써 너희 믿음에 덕을 덕에 지식을 지식에 절제를 절제에 인내를 인내에 경건을 경건에 형제 우애를 형제 우애에 사랑을 더하라,"믿음,덕,절제"
C2-008,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,7,결혼할 때까지 내 자신을 순결하게 지켜야 합니다.,고린도전서,6:19-20,너희 몸은 너희가 하나님께로부터 받은 바 너희 가운데 계신 성령의 전인 줄을 알지 못하느냐 너희는 너희 자신의 것이 아니라 값으로 산 것이 되었으니 그런즉 너희 몸으로 하나님께 영광을 돌리라,"성령의 전,영광"
C2-009,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,8,나의 미래를 향한 하나님의 계획을 위해 기도해야 합니다.,예레미야,29:11,여호와의 말씀이니라 너희를 향한 나의 생각을 내가 아나니 평안이요 재앙이 아니니라 너희에게 미래와 희망을 주는 것이니라,"평안,미래,희망"
C2-010,1,우리가 가족에 대해서 꼭 알아야 하는 것은 무엇일까요?,8,나의 미래를 향한 하나님의 계획을 위해 기도해야 합니다.,빌립보서,4:13,내게 능력 주시는 자 안에서 내가 모든 것을 할 수 있느니라,능력
