구분,순번,책이름,약자
구약,1,창세기,창
구약,2,출애굽기,출
구약,3,레위기,레
구약,4,민수기,민
구약,5,신명기,신
구약,6,여호수아,수
구약,7,사사기,삿
구약,8,룻기,룻
구약,9,사무엘상,삼상
구약,10,사무엘하,삼하
구약,11,열왕기상,왕상
구약,12,열왕기하,왕하
구약,13,역대상,대상
구약,14,역대하,대하
구약,15,에스라,스
구약,16,느헤미야,느
구약,17,에스더,에
구약,18,욥기,욥
구약,19,시편,시
구약,20,잠언,잠
구약,21,전도서,전
구약,22,아가,아
구약,23,이사야,사
구약,24,예레미야,렘
구약,25,예레미야애가,애
구약,26,에스겔,겔
구약,27,다니엘,단
구약,28,호세아,호
구약,29,요엘,욜
구약,30,아모스,암
구약,31,오바댜,옵
구약,32,요나,욘
구약,33,미가,미
구약,34,나훔,나
구약,35,하박국,합
구약,36,스바냐,습
구약,37,학개,학
구약,38,스가랴,슥
구약,39,말라기,말
신약,1,마태복음,마
신약,2,마가복음,막
신약,3,누가복음,눅
신약,4,요한복음,요
신약,5,사도행전,행
신약,6,로마서,롬
신약,7,고린도전서,고전
신약,8,고린도후서,고후
신약,9,갈라디아서,갈
신약,10,에베소서,엡
신약,11,빌립보서,빌
신약,12,골로새서,골
신약,13,데살로니가전서,살전
신약,14,데살로니가후서,살후
신약,15,디모데전서,딤전
신약,16,디모데후서,딤후
신약,17,디도서,딛
신약,18,빌레몬서,몬
신약,19,히브리서,히
신약,20,야고보서,약
신약,21,베드로전서,벧전
신약,22,베드로후서,벧후
신약,23,요한1서,요일
신약,24,요한2서,요이
신약,25,요한3서,요삼
신약,26,유다서,유
신약,27,요한계시록,계
