ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
A2-001,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,1,우리 가족의 중요한 구성원입니다.,잠언,4:1,아비의 훈계를 들으며 명철을 얻기에 주의하라,"훈계,명철"
A2-002,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,2,부모님은 말로 자녀를 가르치십니다.,시편,78:4,우리가 이를 그들의 자손에게 숨기지 아니하고 여호와의 영예와 그의 능력과 그가 행하신 기이한 사적을 후대에 전하리로다,"자손,후대"
A2-003,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,3,자녀들은 부모님께 순종해야 합니다.,골로새서,3:20,자녀들아 모든 일에 부모에게 순종하라 이는 주 안에서 기쁘게 하는 것이니라,"자녀,순종"
A2-004,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,4,부모님은 몸소 행동으로 자녀를 가르치십니다.,에베소서,6:4,또 아비들아 너희 자녀를 노엽게 하지 말고 오직 주의 교훈과 훈계로 양육하라,"노엽게,교훈,훈계"
A2-005,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,5,나는 규칙을 지키는 법을 배워야 합니다.,잠언,1:8-9,내 아들아 네 아비의 훈계를 들으며 네 어미의 법을 떠나지 말라 이는 네 머리의 아름다운 관이요 네 목의 금 사슬이니라,"훈계,관,금 사슬"
A2-006,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,6,나는 다른 사람을 돕는 법을 배워야 합니다.,갈라디아서,5:13b,오직 사랑으로 서로 종 노릇 하라,"사랑,종"
A2-007,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,7,나는 다른 사람을 돌보는 법을 배워야 합니다.,빌립보서,2:3-4,아무 일에든지 다툼이나 허영으로 하지 말고 오직 겸손한 마음으로 각각 자기보다 남을 낫게 여기고 각각 자기 일을 돌볼뿐더러 또한 각각 다른 사람들의 일을 돌보아 나의 기쁨을 충만하게 하라,"다툼,허영,겸손"
A2-008,1,우리 가정과 가족에 대해 하신 말씀은 무엇인가요?,8,내가 영원히 거할 집은 천국입니다.,요한복음,14:2,내 아버지 집에 거할 곳이 많도다 그렇지 않으면 너희에게 일렀으리라 내가 너희를 위하여 거처를 예비하러 가노니,"아버지,거처"
A2-009,2,우리는 왜 교회에 가야 하나요?,1,교회는 우리가 성경에 대해 배울 수 있는 곳입니다.,디모데후서,3:16,모든 성경은 하나님의 감동으로 된 것으로 교훈과 책망과 바르게 함과 의로 교육하기에 유익하니 이는 하나님의 사람으로 온전하게 하며 모든 선한 일을 행할 능력을 갖추게 하려 함이라,"감동,교훈,책망"
A2-010,2,우리는 왜 교회에 가야 하나요?,2,교회는 우리가 하나님을 경배하고 찬양하는 장소입니다.,시편,95:6,오라 우리가 굽혀 경배하며 우리를 지으신 여호와 앞에 무릎을 꿇자,"경배,여호와"
A2-011,2,우리는 왜 교회에 가야 하나요?,3,교회는 우리가 다른 사람을 위해 기도를 할 수 있는 곳입니다.,에베소서,6:18,모든 기도와 간구를 하되 항상 성령 안에서 기도하고 이를 위하여 깨어 구하기를 항상 힘쓰며 여러 성도를 위하여 구하라,"기도,간구,성령"
A2-012,2,우리는 왜 교회에 가야 하나요?,4,교회는 우리가 서로에게 힘을 줄 수 있는 곳입니다.,데살로니가전서,5:11,그러므로 피차 권면하고 서로 덕을 세우기를 너희가 하는 것 같이 하라,"피차,권면,덕"
A2-013,2,우리는 왜 교회에 가야 하나요?,5,교회는 우리가 크리스천 친구를 사귈 수 있는 곳입니다.,히브리서,10:24-25,서로 돌아보아 사랑과 선행을 격려하며 모이기를 폐하는 어떤 사람들의 습관과 같이 하지 말고 오직 권하여 그날이 가까움을 볼수록 더욱 그리하자,"선행,격려,폐하는"
A2-014,2,우리는 왜 교회에 가야 하나요?,6,교회는 우리가 누군가를 섬길 수 있는 곳입니다.,디모데전서,4:12,누구든지 네 연소함을 업신여기지 못하게 하고 오직 말과 행실과 사랑과 믿음과 정절에 있어서 믿는 자에게 본이 되어,"연소함,업신여기지,행실"
A2-015,2,우리는 왜 교회에 가야 하나요?,7,교회는 우리가 헌금을 드릴 수 있는 곳입니다.,고린도후서,9:7,각각 그 마음에 정한 대로 할 것이요 인색함으로나 억지로 하지 말지니 하나님은 즐겨 내는 자를 사랑하시느니라,"정한,인색함,억지로"
A2-016,2,우리는 왜 교회에 가야 하나요?,8,교회는 우리가 특별한 방법으로 예수님의 죽음과 부활을 기념하는 곳입니다.,누가복음,22:19-20,또 떡을 가져 감사 기도 하시고 떼어 그들에게 주시며 이르시되 이것은 너희를 위하여 주는 내 몸이라 너희가 이를 행하여 나를 기념하라 하시고 저녁 먹은 후에 잔도 그와 같이 하여 이르시되 이 잔은 내 피로 세우는 새 언약이니 곧 너희를 위하여 붓는 것이라,"떡,몸,언약"
A2-017,3,어떻게 다른 사람을 도울 수 있을까요?,1,우리는 하나님이 우리를 사랑하시는 것처럼 다른 사람을 사랑할 수 있습니다.,요한일서,4:10-11,여기 있으니 우리가 하나님을 사랑한 것이 아니요 하나님이 우리를 사랑하사 우리 죄를 속하기 위하여 화목 제물로 그 아들을 보내셨음이라 사랑하는 자들아 하나님이 이같이 우리를 사랑하셨은즉 우리도 서로 사랑하는 것이 마땅하도다,"화목 제물,아들,사랑"
A2-018,3,어떻게 다른 사람을 도울 수 있을까요?,2,자신보다 다른 사람이 필요한 것을 먼저 생각할 수 있습니다.,빌립보서,2:3,아무 일에든지 다툼이나 허영으로 하지 말고 오직 겸손한 마음으로 각각 자기보다 남을 낫게 여기고,"다툼,허영,겸손"
A2-019,3,어떻게 다른 사람을 도울 수 있을까요?,3,우리는 다른 사람을 격려할 수 있습니다.,잠언,12:25b,선한 말은 그것을 즐겁게 하느니라,선한 말
A2-020,3,어떻게 다른 사람을 도울 수 있을까요?,3,우리는 다른 사람을 격려할 수 있습니다.,로마서,15:2,우리 각 사람이 이웃을 기쁘게 하되 선을 이루고 덕을 세우도록 할지니라,"이웃,선,덕"
A2-021,3,어떻게 다른 사람을 도울 수 있을까요?,4,우리는 다른 사람에 대해 인내심을 가질 수 있습니다.,야고보서,1:19,내 사랑하는 형제들아 너희가 알지니 사람마다 듣기는 속히 하고 말하기는 더디 하며 성내기도 더디 하라,"형제,성내기"
A2-022,3,어떻게 다른 사람을 도울 수 있을까요?,5,우리의 주변 사람들에게 좋은 일을 할 수 있습니다.,누가복음,6:31,남에게 대접을 받고자 하는 대로 너희도 남을 대접하라,대접
A2-023,3,어떻게 다른 사람을 도울 수 있을까요?,5,우리의 주변 사람들에게 좋은 일을 할 수 있습니다.,갈라디아서,6:10,그러므로 우리는 기회 있는 대로 모든 이에게 착한 일을 하되 더욱 믿음의 가정들에게 할지니라,"착한 일,믿음의 가정"
A2-024,3,어떻게 다른 사람을 도울 수 있을까요?,6,복음 증거를 통해 도울 수 있습니다.,고린도후서,5:20,그러므로 우리가 그리스도를 대신하여 사신이 되어 하나님이 우리를 통하여 너희를 권면하시는 것 같이 그리스도를 대신하여 간청하노니 너희는 하나님과 화목하라,"사신,권면,화목"
A2-025,3,어떻게 다른 사람을 도울 수 있을까요?,7,우리 주변에 있는 사람들에게 선교사의 역할을 할 수 있습니다.,마가복음,1:17,예수께서 이르시되 나를 따라오라 내가 너희로 사람을 낚는 어부가 되게 하리라 하시니,"따라오라,어부"
A2-026,3,어떻게 다른 사람을 도울 수 있을까요?,8,우리는 다른 사람을 위해 기도할 수 있습니다.,디모데전서,2:1-3,그러므로 내가 첫째로 권하노니 모든 사람을 위하여 간구와 기도와 도고와 감사를 하되 임금들과 높은 지위에 있는 모든 사람을 위하여 하라 이는 우리가 모든 경건과 단정함으로 고요하고 평안한 생활을 하려 함이라 이것이 우리 구주 하나님 앞에 선하고 받으실 만한 것이니,"간구,도고,단정"
A2-027,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",1,사탄은 하나님께 죄를 지은 천사였습니다.,이사야,14:13,네가 네 마음에 이르기를 내가 하늘에 올라 하나님의 뭇 별 위에 내 자리를 높이리라 내가 북극 집회의 산 위에 앉으리라,"하늘,북극"
A2-028,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",2,"다시 오실 때, 사탄은 영원히 벌을 받게 될 것입니다.",요한계시록,20:10,또 그들을 미혹하는 마귀가 불과 유황 못에 던져지니 거기는 그 짐승과 거짓 선지자도 있어 세세토록 밤낮 괴로움을 받으리라,"마귀,불과 유황 못"
A2-029,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",3,천사는 하나님이 만드신 피조물입니다.,느헤미야,9:6,오직 주는 여호와시라 하늘과 하늘들의 하늘과 일월 성신과 땅과 땅 위의 만물과 바다와 그 가운데 모든 것을 지으시고 다 보존하시오니 모든 천군이 주께 경배하나이다,"만물,천군,경배"
A2-030,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",4,천사들은 하나님을 섬깁니다.,시편,103:20-21,능력이 있어 여호와의 말씀을 행하며 그의 말씀의 소리를 듣는 여호와의 천사들이여 여호와를 송축하라 그에게 수종들며 그의 뜻을 행하는 모든 천군이여 여호와를 송축하라,"말씀,천사,천군"
A2-031,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",5,우리는 예수님의 재림을 준비해야 합니다.,요한일서,2:28,자녀들아 이제 그의 안에 거하라 이는 주께서 나타내신 바 되면 그가 강림하실 때에 우리로 담대함을 얻어 그 앞에서 부끄럽지 않게 하려 함이라,"거하라,강림,담대함"
A2-032,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",6,우리는 공중에서 주 예수님을 영접하게 될 것입니다.,데살로니가전서,4:16-17,주께서 호령과 천사장의 소리와 하나님의 나팔 소리로 친히 하늘로부터 강림하시리니 그리스도 안에서 죽은 자들이 먼저 일어나고 그 후에 우리 살아 남은 자들도 그들과 함께 구름 속으로 끌어 올려 공중에서 주를 영접하게 하시리니 그리하여 우리가 항상 주와 함께 있으리라,"천사장,강림,영접"
A2-033,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",7,이 땅은 7년 동안 환난 상태에 있을 것입니다.,예레미야,30:7,슬프다 그 날이여 그와 같이 엄청난 날이 없으리라 그 날은 야곱의 환난의 때가 됨이로다 그러나 그가 환난에서 구하여 냄을 얻으리로다,"야곱,환난"
A2-034,4,"사탄, 천사 그리고 미래에 대해 우리가 알아 두어야 할 것은 무엇인가요?",8,예수님은 천 년 동안 이 세상을 통치하실 것입니다.,요한계시록,20:6,이 첫째 부활에 참여하는 자들은 복이 있고 거룩하도다 둘째 사망이 그들을 다스리는 권세가 없고 도리어 그들이 하나님과 그리스도의 제사장이 되어 천 년 동안 그리스도와 더불어 왕 노릇 하리라,"첫째 부활,둘째 사망,제사장"
