ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
C1-001,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,1,성경은 하나님의 말씀이기 때문입니다.,예레미야,10:10a,오직 여호와는 참 하나님이시요 살아 계신 하나님이시오,"여호와,하나님"
C1-002,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,1,성경은 하나님의 말씀이기 때문입니다.,요한복음,17:17b,아버지의 말씀은 진리니이다,"말씀,진리"
C1-003,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,1,성경은 하나님의 말씀이기 때문입니다.,시편,119:42,내가 주의 말씀을 의지함이니이다,말씀
C1-004,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,1,성경은 하나님의 말씀이기 때문입니다.,디모데후서,2:15,너는 진리의 말씀을 옳게 분별하며 부끄러울 것이 없는 일꾼으로 인정된 자로 자신을 하나님 앞에 드리기를 힘쓰라,"진리,일꾼"
C1-005,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,2,하나님께서 그분의 말씀을 순전하다고 말씀하시기 때문입니다.,잠언,30:5-6,하나님의 말씀은 다 순전하며 하나님은 그를 의지하는 자의 방패시니라 너는 그의 말씀에 더하지 말라 그가 너를 책망하시겠고 너는 거짓말하는 자가 될까 두려우니라,"말씀,방패"
C1-006,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,3,수많은 사람들이 성경에 등장하는 사건들을 직접 목격했기 때문입니다.,베드로후서,1:16,우리 주 예수 그리스도의 능력과 강림하심을 너희에게 알게 한 것이 교묘히 만든 이야기를 따른 것이 아니요 우리는 그의 크신 위엄을 친히 본 자라,"능력,위엄"
C1-007,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,4,성경은 역사적으로 정확하기 때문입니다.,요한1서,1:1,태초부터 있는 생명의 말씀에 관하여는 우리가 들은 바요 눈으로 본 바요 자세히 보고 우리의 손으로 만진 바라,"생명,말씀"
C1-008,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,5,하나님께서 성경을 기록하기 위해 사용하신 40명의 사람들의 기록이 모두 일치하기 때문입니다.,누가복음,1:1-2,우리 중에 이루어진 사실에 대하여 처음부터 목격자와 말씀의 일꾼 된 자들이 전하여 준 그대로 내력을 저술하려고 붓을 든 사람이 많은지라,"목격자,일꾼"
C1-009,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,6,"40명의 성경 저자들이 1,500년 동안 각자 기록한 성경의 내용이 모두 일치하기 때문입니다.",베드로후서,1:21,예언은 언제든지 사람의 뜻으로 낸 것이 아니요 오직 성령의 감동하심을 받은 사람들이 하나님께 받아 말한 것임이라,"예언,성령"
C1-010,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,7,성경에서 예언한 사건들이 정말로 일어났기 때문입니다.,신명기,18:22,만일 선지자가 있어 여호와의 이름으로 말한 일에 증험도 없고 성취함도 없으면 이는 여호와께서 말씀하신 것이 아니요 그 선지자가 제 마음대로 한 말이니 너는 그를 두려워하지 말지니라,"선지자,여호와"
