ID,말씀ID,용어,정의
C2V001,C2-002,공경,공손히 상대방을 존경함
C2V002,C2-003,기업,특별한 선물
C2V003,C2-003,태의 열매,자식
C2V004,C2-004,선한 도리,"교훈, 가르침"
C2V005,C2-004,유약한,어리고 여린
C2V006,C2-004,마음에 두라,"마음에 간직하라, 명심하라"
C2V007,C2-005,공경하라,존경하라
C2V008,C2-005,계명,"법, 규칙, 가르침"
C2V009,C2-006,노엽게 하다,"마음에 상처를 입히다, 강요하다"
C2V010,C2-006,교훈,가르침을 받아 얻는 지식
C2V011,C2-006,훈계,타이르며 옳고 그름을 가르치는 것
C2V012,C2-006,양육,돌보아 자라게 함
C2V013,C2-007,더욱 힘써,"열성을 다하여, 온 관심과 노력을 다하여"
C2V014,C2-007,덕,"미덕, 선함, 탁월함"
C2V015,C2-007,절제,지나치지 않고 알맞게 조절하는 것
C2V016,C2-007,인내,참고 견디는 것
C2V017,C2-007,경건,공경하는 마음으로 행동을 조심해서 하는 것
C2V018,C2-007,형제 우애,형제간의 두터운 정과 사랑
C2V019,C2-008,성령의 전,하나님께서 살아 계시는 장소
C2V020,C2-011,젖을 먹는,기본적인 성경의 진리만을 알고 있는
C2V021,C2-011,경험하지 못한,"익숙하지 못한, 알지 못하는"
C2V022,C2-011,단단한 음식,성경의 더 깊은 진리들
C2V023,C2-011,장성한,"성숙한, 다 자라난"
C2V024,C2-011,지각,"알아서 깨닫는 능력, 영적인 분별력"
C2V025,C2-011,연단을 받아,열심히 훈련을 받아서
C2V026,C2-011,분별하는,어떤 차이를 구별하여 말하는
C2V027,C2-012,바른 말,진리의 말씀
C2V028,C2-012,아름다운 것,선한 것
C2V029,C2-012,거하여,살아서
C2V030,C2-013,권면하고,"권고하고, 충고하고, 격려하고"
C2V031,C2-013,시,"노래, 찬양"
C2V032,C2-014,세례(침례),어디에 푹 잠기다
C2V033,C2-016,몸,그리스도를 믿는 사람들
C2V034,C2-018,몸,"교회, 그리스도인들"
C2V035,C2-018,분쟁,"분열, 분리"
C2V036,C2-019,형제,주님을 믿는 사람들
C2V037,C2-020,형제,"믿는 사람들, 그리스도인들"
C2V038,C2-020,서로 우애하고,서로 다정하게 대하며 사랑하는 마음으로 돌보고
C2V039,C2-022,재물,돈과 재산
C2V040,C2-023,자랑하나니,"주장하다, 말하다, 선포하다"
C2V041,C2-024,보존되거니와,끝까지 남지만
C2V042,C2-025,사모함을 받느니라,사랑을 받느니라
C2V043,C2-026,뜨겁게,"열렬히, 열정적으로"
C2V044,C2-027,마음을 같이하여,"한 마음을 품으며, 기꺼이 동의하여"
C2V045,C2-027,동정하며,남의 어려움을 가엾게 여겨 온정을 베풀며
C2V046,C2-027,불쌍히 여기며,"자비로우며, 동정심을 품고"
C2V047,C2-027,욕,"비난, 모욕, 명예훼손"
C2V048,C2-027,갚지,"되돌리지, 보복하지"
C2V049,C2-027,도리어,"오히려, 반대로"
C2V050,C2-028,합당한,"적합한, 자격 있는, 그럴 만한"
C2V051,C2-029,더러운 말,"나쁜 말, 남을 해치는 말"
C2V052,C2-029,덕을 세우다,"믿음을 북돋아 주다, 다른 사람들을 돕는 일을 하다"
C2V053,C2-031,부끄러워하지 아니하노니,커다란 확신을 가지고 있으니
C2V054,C2-031,유대인에게요 그리고 헬라인에게로다,"모든 사람들에게, 온 인류에게"
C2V055,C2-032,생명책,하나님께서 예수 그리스도를 구세주로 받아들인 모든 사람들의 이름을 기록한 명단
C2V056,C2-032,불못,영원한 형벌을 받는 장소
C2V057,C2-033,시민권,그리스도인이 누리는 권리
C2V058,C2-035,비밀,하나님께서 계시하시는 숨겨진 진리
C2V059,C2-035,잠자다,죽다
C2V060,C2-035,홀연히,"뜻밖에, 갑자기"
C2V061,C2-035,썩지 아니할,"불멸하는, 없어지지 않는"
C2V062,C2-037,절제하나니,"어려움을 이겨내다, 자제하다"
C2V063,C2-037,썩을,"없어질, 사라질"
C2V064,C2-037,썩지 아니할,"없어지지 않을, 사라지지 않을"
C2V065,C2-038,의지하지 말라,"기대지 말라, 확신하지 말라"
C2V066,C2-038,인정하라,"하나님께 물어보라, 주의를 기울이라"
